Name,Sector,Expert_S,P_S,A_S,D_C_S,L_S,Q4_R,Q3_R,Q2_R,Q1_R,Q4_PBT,Q3_PBT,Q2_PBT,Q1_PBT,Q4_NP,Q3_NP,Q2_NP,Q1_NP,Y_R,Y_NP,NTA,Goodwill,Cash,Debt,TD,NA,CR,QR,Cash_Ratio,ROA,DTA,ATR
klse: Teck Guan Perdana Bhd,Agricultural Commodities,5.2,7.7,6.09,3.74,3.24,139666,181048,64741,97311,453,3108,5416,-2945,256,2425,4292,-2815,482766,4158,1.3,0,31020,67550,134440,58950,1.37,1,0.44,0.070534351,2.28057676,8.189414758
klse: Tasco Bhd,Transportation,4.5,3.9,3.55,3.76,6.91,229457,178565,186236,190137,15596,5229,6821,6112,10702,2636,-377,3880,784395,19044,2.18,81860,106570,284440,398460,434960,2.01,2.01,1.15,0.043783336,0.916084238,1.803372724
klse: Daya Materials Bhd,Industrial Specialties,1,0.1,0.01,0.01,3.8,14751,18231,17484,34008,-3967,-5075,-41238,-6876,-4133,-2758,-24575,-8896,129610,-15872,-0.07,1000,52480,201270,377890,-205760,0.34,0.3,0.15,0.077138414,-1.836557154,-0.629908631
klse: Kinsteel Bhd,Steel,2.8,0.1,5.96,0.01,5.26,20208,10695,14856,15387,-6064,-31163,-6416,-3154,-3270,-17711,-3351,-2983,61146,-46536,-0.75,0,621,798030,1190000,-766970,0.17,0.16,0,0.060675124,-1.551560035,-0.079724109
klse: Zhulian Corp. Bhd,Industrial Products,6.3,4.8,5.76,8.99,5.78,42740,39496,44842,39118,13766,15290,14092,13179,10993,11358,10869,9095,166196,42315,1.34,0,180220,0,41280,602380,6.68,5.49,4.71,0.070246356,0.068528172,0.275898934
klse: Barakah Offshore Petroleum Bhd,Oilfield Services,0.8,0.1,0.01,0.01,3.39,32628,74696,23708,66381,-2537,2069,17466,10202,-2938,2448,17529,10842,197413,27870,-19.05,0,96090,194940,462290,-158450,0.47,0.47,0.21,-0.175891448,-2.917576523,-1.245900915
klse: Sand Nisko Capital Bhd,Home Furnishings,3.1,1.2,2.93,4.15,4.17,6738,6674,7556,9060,-1116,2529,-565,-1400,-1116,2529,-409,-1357,30028,-353,0.36,0,8060,0,11270,25070,1.61,1.51,0.09,-0.014080574,0.449541284,1.197766254
klse: Pertama Digital Berhad,Textiles,3.8,2.4,3.24,3.78,5.62,133,25,6,3694,-1765,-544,-265,-25,-350,-4214,1404,2605,3858,-48,0.29,0,187,7750,45070,124590,3.2,3.2,0,-0.000385264,0.361746529,0.030965567
klse: Straits Inter Logistics Bhd,Industrial Machinery,4.5,5.3,3.91,3.54,5.07,161217,75216,262363,203559,1266,1059,1773,3306,1052,319,1024,2067,702355,5378,0.17,30560,6660,60930,97550,112180,1.01,0.8,0.06,0.047940809,0.869584596,6.260964521
klse: Pentamaster Corp. Bhd,Electronic Equipments,4.1,2.6,1.29,4.3,8.01,105418,103024,100109,125977,25534,28714,27219,38161,15037,17011,16771,22459,434528,112881,0.92,46060,431300,3190,134430,469880,4.55,4.08,3.37,0.240233677,0.286094322,0.924763769
klse: Iskandar Waterfront City Bhd,Engineering,5.2,3.6,6.33,3.3,7.59,9598,59825,19174,43589,-2834,22815,-7258,2656,-3677,12658,-6493,355,132186,2843,0.96,0,51560,212320,1080000,804570,1.82,0.53,0.04,0.003533565,1.342331929,0.164293971
klse: Edaran Bhd,Information Technology Services,4.9,6.6,4.85,4.59,3.52,13052,12911,12831,12697,1028,2411,-4661,499,1021,1977,-5094,429,51491,-1635,0.38,0,4300,6970,30700,22920,1.12,1.12,0.19,-0.071335079,1.339441536,2.246553229
klse: Majuperak Holdings Bhd,Textiles,3.6,1.6,3.64,3.48,5.7,11970,2673,2169,-2204,3671,-1665,-4149,-6592,2235,-1268,-4091,-6472,14608,-10034,0.67,12070,1570,16840,75670,175110,1.26,0.78,0.03,-0.057301125,0.432128376,0.083421849
klse: Innity Corp. Bhd,Marketing Services,1.7,1.9,1.19,3.68,0.14,41735,31428,37387,53489,8906,4542,4167,10254,6584,3132,2750,7910,99392,-4259,0.26,0,36770,21820,46240,132800,1.05,0.43,0.32,-0.032070783,0.348192771,0.748433735
klse: CCK Consolidated Holdings Bhd,Agricultural Commodities,5.4,5.9,4.63,5.07,5.9,165189,153865,160963,173332,11596,9654,10492,12799,9234,7558,8083,9662,653349,34578,0.44,380,47310,61010,118640,287280,1.79,1.03,0.47,0.120363409,0.412976887,2.274258563
klse: Datasonic Group Bhd,Information Technology Services,4.1,2.9,0.6,5.34,7.67,43749,39396,50715,74965,9335,6131,11976,21631,7527,4775,12273,20176,208825,44745,0.19,27880,35870,77350,110510,250800,2.67,2.02,0.66,0.178409091,0.440629984,0.832635566
klse: Berjaya Land Bhd,Ringgit,2.8,1.3,4.75,0.01,5.22,1455254,541582,1520849,1534169,22995,-144618,232680,11193,-41878,-136774,144180,-63730,5051854,4231,0.82,3609550,646390,4560000,7610000,4080000,1.41,1.16,0.18,0.00103701,1.865196078,1.23819951
klse: Frontken Corp. Bhd,Engineering,3.9,2.6,0.56,4.41,8.07,94792,87620,84871,88888,30331,27918,24723,24490,21341,20329,17007,18199,356171,82652,0.36,33760,252670,14100,123080,414110,3.28,3.13,2.21,0.199589481,0.297215716,0.860087899
klse: Wintoni Group Bhd,Industrial Machinery,1.1,0.1,0.72,3.55,0.01,8532,6361,4917,1920,2116,1153,3371,-140,1554,801,3075,-135,21730,5295,0,0,705,66,9550,-1510,0.26,0.26,0.02,-3.506622517,-6.324503311,-14.39072848
klse: SBC Corp. Bhd,Engineering,5.6,6.2,8.05,4.67,3.53,24587,5159,42989,31222,6695,-1361,-5134,5905,4557,-1649,-5642,4752,103957,1246,1.6,0,13210,94770,243580,413680,2.42,0.52,0.06,0.00301199,0.588812609,0.251298105
klse: Alliance Bank Malaysia Bhd,Bank,6.6,6.5,6.65,5.88,7.24,474446,421608,434409,424322,132964,139788,130401,181666,103944,104312,98057,133997,1754785,440310,3.87,0,13200000,43330000,48700000,6090000,0.2,0,0,0.072300493,7.996715928,0.288142036
klse: Jiankun International Bhd,Industrial Specialties,4.8,5.4,3.8,4.69,5.14,23310,5262,19213,18422,2927,89,2377,2668,2592,71,1947,2693,66207,7303,0.33,0,5570,3920,31630,56700,1.72,0.9,0.13,0.128800705,0.557848325,1.167671958
klse: Axiata Group Bhd,Telecommunications,3.6,2.8,1.24,2.4,8.02,6111657,5792414,6036584,6267007,724473,405810,611886,632278,352991,80018,188106,332558,24207662,1426596,1.77,20355360,10880000,30590000,48960000,15780000,0.39,0.39,0.18,0.090405323,3.102661597,1.53407237
klse: TRC Synergy Bhd,Engineering,5.9,6.6,7.46,5.2,4.48,189983,139386,137632,190906,8328,12429,4187,5971,5742,11180,-414,3682,657907,20110,0.89,0,280730,212150,597290,421970,1.37,1.13,0.52,0.047657416,1.415479773,1.559132166
klse: Thong Guan Industries Bhd,Crude Oil,6.6,5.6,6.41,7.12,7.21,245791,228034,244021,231625,27435,25921,22584,21748,19596,20462,17461,17856,949471,80615,3.13,0,244010,150840,254100,618610,2.69,1.81,1.01,0.130316354,0.410759606,1.534845864
