Name,Sector,Expert_S,P_S,A_S,D_C_S,L_S,Q4_R,Q3_R,Q2_R,Q1_R,Q4_PBT,Q3_PBT,Q2_PBT,Q1_PBT,Q4_NP,Q3_NP,Q2_NP,Q1_NP,Y_R,Y_NP,NTA,Goodwill,Cash,Debt,TD,NA,CR,QR,Cash_Ratio,ROA,DTA,ATR,YNPM,Q1_NPM,Q2_NPM,Q3_NPM,Q4_NPM,CTR
klse: Teck Guan Perdana Bhd,Agricultural Commodities,5.2,7.7,6.09,3.74,3.24,139666,181048,64741,97311,453,3108,5416,-2945,256,2425,4292,-2815,482766,4158,1.3,0,31020,67550,134440,58950,1.37,1,0.44,0.070534351,2.28057676,8.189414758,0.861286835,-2.892787044,6.629492902,1.339423799,0.183294431,15.56305609
klse: Tasco Bhd,Transportation,4.5,3.9,3.55,3.76,6.91,229457,178565,186236,190137,15596,5229,6821,6112,10702,2636,-377,3880,784395,19044,2.18,81860,106570,284440,398460,434960,2.01,2.01,1.15,0.043783336,0.916084238,1.803372724,2.427858413,2.040633859,-0.202431324,1.476213144,4.664054703,7.360373463
klse: Berjaya Land Bhd,Ringgit,2.8,1.3,4.75,0.01,5.22,1455254,541582,1520849,1534169,22995,-144618,232680,11193,-41878,-136774,144180,-63730,5051854,4231,0.82,3609550,646390,4560000,7610000,4080000,1.41,1.16,0.18,0.00103701,1.865196078,1.23819951,0.083751431,-4.154040396,9.480231108,-25.25453209,-2.877710695,7.815489101
klse: SBC Corp. Bhd,Engineering,5.6,6.2,8.05,4.67,3.53,24587,5159,42989,31222,6695,-1361,-5134,5905,4557,-1649,-5642,4752,103957,1246,1.6,0,13210,94770,243580,413680,2.42,0.52,0.06,0.00301199,0.588812609,0.251298105,1.198572487,15.22003715,-13.12428761,-31.96355883,18.53418473,7.869568509
klse: Alliance Bank Malaysia Bhd,Bank,6.6,6.5,6.65,5.88,7.24,474446,421608,434409,424322,132964,139788,130401,181666,103944,104312,98057,133997,1754785,440310,3.87,0,13200000,43330000,48700000,6090000,0.2,0,0,0.072300493,7.996715928,0.288142036,25.09196283,31.57908381,22.57250655,24.74146601,21.9084996,0.132938258
klse: Jiankun International Bhd,Industrial Specialties,4.8,5.4,3.8,4.69,5.14,23310,5262,19213,18422,2927,89,2377,2668,2592,71,1947,2693,66207,7303,0.33,0,5570,3920,31630,56700,1.72,0.9,0.13,0.128800705,0.557848325,1.167671958,11.03055568,14.61839105,10.1337636,1.349296845,11.11969112,11.88635548
klse: TRC Synergy Bhd,Engineering,5.9,6.6,7.46,5.2,4.48,189983,139386,137632,190906,8328,12429,4187,5971,5742,11180,-414,3682,657907,20110,0.89,0,280730,212150,597290,421970,1.37,1.13,0.52,0.047657416,1.415479773,1.559132166,3.056663024,1.928697893,-0.300802139,8.020891625,3.022375686,2.343557867
klse: Thong Guan Industries Bhd,Crude Oil,6.6,5.6,6.41,7.12,7.21,245791,228034,244021,231625,27435,25921,22584,21748,19596,20462,17461,17856,949471,80615,3.13,0,244010,150840,254100,618610,2.69,1.81,1.01,0.130316354,0.410759606,1.534845864,8.490517351,7.709012412,7.155531696,8.973223291,7.972627151,3.891115118
klse: SCGM Bhd,Crude Oil,4.6,4.2,2.39,4.55,7.35,61011,57223,49662,51636,10740,8674,5869,3638,9610,8266,6863,4181,219532,28920,0.88,0,14080,90230,124670,175520,1.38,0.79,0.07,0.164767548,0.710289426,1.250752051,13.17347813,8.097064064,13.81941927,14.44524055,15.75125797,15.59176136
klse: Genting Bhd,Gambling,7.8,6.2,8.79,6.42,9.73,3298829,1107938,4109218,5303023,60044,-1660160,-218205,1119541,-130746,-786054,-132318,528822,13819008,-1294185,9.18,40550,31040000,37950000,47020000,33220000,3.84,3.77,3.49,-0.038958007,1.415412402,0.415984588,-9.365252556,9.972085733,-3.220028726,-70.94747179,-3.963406409,0.4452
klse: Solid Automotive Bhd,Wholesale Distributors,5,3.8,5.9,3.96,6.21,76281,73622,44103,63493,2412,2687,-7935,691,2111,2590,-8666,500,257499,-3452,0.36,2300,23290,51740,96640,145070,2.2,1.06,0.22,-0.023795409,0.666161164,1.774998277,-1.34058773,0.787488385,-19.64945695,3.517970172,2.767399483,11.05620438
klse: Ideal United Bintang International Bhd,Wholesale Distributors,4.2,5.6,4.65,4.71,1.74,53146,39633,61467,129668,-21676,-30748,-24651,17031,-21759,-31009,-25835,11826,283914,-68688,1.19,161720,43330,130570,460700,553680,2.02,1.17,0.15,-0.124057217,0.832069065,0.512776333,-24.19324162,9.120214702,-42.03068313,-78.24035526,-40.94193354,6.552365567
klse: Negri Sembilan Oil Palms Bhd,Agricultural Commodities,4.6,2.4,7.56,6.04,2.3,17178,16139,13441,11551,2176,4337,-497,-1927,1401,3273,-997,-717,58309,3000,7.77,0,141380,0,80070,541990,17.44,16.99,16.22,0.005535157,0.147733353,0.107583166,5.145003344,-6.207254783,-7.417602857,20.28006692,8.15578065,0.4124275
klse: Mesiniaga Bhd,Information Technology Services,3.5,1.8,4.14,4.47,3.72,51452,41834,45899,212396,-4188,-2810,1894,13852,-4314,-2922,1789,11356,351581,6170,1.89,840,26270,3860,57710,112970,1.46,1.4,0.92,0.05461627,0.510843587,3.112162521,1.754929874,5.346616697,3.897688403,-6.984749247,-8.384513722,13.38336506
klse: CCK Consolidated Holdings Bhd,Agricultural Commodities,5.4,5.9,4.63,5.07,5.9,165189,153865,160963,173332,11596,9654,10492,12799,9234,7558,8083,9662,653349,34578,0.44,380,47310,61010,118640,287280,1.79,1.03,0.47,0.120363409,0.412976887,2.274258563,5.29242411,5.574273648,5.021650938,4.912098268,5.589960591,13.80995561
klse: Berjaya Corp. Bhd,Construction,4,1.6,5.94,1.36,7.21,1943623,859019,1975461,2082837,10883,-380803,538082,-61664,-58952,-345806,412521,-134422,6860940,-120864,1.27,5220400,1590000,7550000,11960000,6540000,1.22,0.88,0.3,-0.018480734,1.828746177,1.049073394,-1.7616245,-6.453793552,20.88226495,-40.25591983,-3.033098497,4.315056604
klse: AT Systematization Bhd,Industrial Machinery,3.8,1.8,0.01,3.87,9.51,7557,5055,5551,6446,110,-3324,-8966,-2465,110,-3324,-8966,-2464,24609,-14644,0.09,0,21180,5440,16520,80310,1.14,0.84,0.13,-0.182343419,0.205702901,0.306425103,-59.50668455,-38.22525597,-161.5204468,-65.75667656,1.455604076,1.161898017
klse: Adventa Bhd,Ringgit,3.5,1,0.01,5.34,7.52,14466,46373,13674,11642,-5227,1579,908,-6057,-5227,1691,1008,-6457,86155,-9343,0.23,3620,22650,13920,38350,69640,2.44,2.09,1.21,-0.134161401,0.550689259,1.237148191,-10.84440833,-55.46297887,7.371654234,3.646518448,-36.13300152,3.803752759
klse: Comfort Gloves Bhd,Industrial Products,5,4.2,1.66,4.82,9.49,276688,197952,152907,138645,117526,56886,22242,13227,90329,42797,16339,10242,766192,159707,0.53,20,62970,91600,206240,369830,1.76,1.23,0.29,0.431838953,0.557661628,2.07174107,20.84425314,7.387211944,10.68558012,21.61988765,32.64651882,12.16757186
klse: Chin Teck Plantations Bhd,Agricultural Commodities,5.4,4.9,6.43,7.03,3.48,39155,33692,23729,33237,17725,14961,4617,9938,13715,11191,3270,7811,129813,35987,7.44,0,318400,0,33450,682420,29.23,28.32,26.43,0.052734386,0.049016735,0.190224495,27.72218499,23.50091765,13.78060601,33.21560014,35.02745499,0.407704146
klse: Tomei Consolidated Bhd,Consumer Services,5.3,4.8,6.29,3.17,7.12,180631,76129,127800,136507,19833,2540,5415,4689,13604,1891,4006,2675,521067,21834,1.55,0,13690,183500,205420,215500,1.83,0.2,0.09,0.101317865,0.953225058,2.417944316,4.190248087,1.959606467,3.13458529,2.48394173,7.53137612,38.06186998
klse: ABM Fujiya Bhd,Consumer,3.9,3.8,6.26,3.52,1.93,26557,17664,19826,29952,3171,568,-445,1668,2294,374,-446,1061,93999,3283,0.89,0,12910,75210,104440,159910,2.02,0.77,0.18,0.020530298,0.653117379,0.587824401,3.492590347,3.542334402,-2.24957127,2.117300725,8.638023873,7.281099923
klse: VSTECS Bhd,Information Technology Services,6.2,6.4,5.32,6.78,6.37,536368,448822,372672,542095,13515,9309,8781,13954,10095,7023,6789,10734,1899957,34641,1.71,630,150600,1110,288290,315720,2.06,1.51,0.3,0.109720639,0.91311922,6.017854428,1.823251789,1.98009574,1.821709171,1.564762868,1.882103332,12.61591633
klse: Uzma Bhd,Oilfield Services,5.8,7.1,6.81,2.36,6.71,99605,151753,122958,149549,3293,-40978,10612,11864,1652,-45223,5436,6756,523865,-25283,1.37,196360,145840,592170,839030,457070,1.34,1.19,0.36,-0.055315378,1.835670685,1.146137353,-4.826243402,4.517582866,4.421021812,-29.80039933,1.658551278,3.592052935
klse: DutaLand Bhd,CPO,6.3,2.7,8.89,7.95,5.7,40729,35264,9986,1708,-2152,15862,-44723,718,-2122,16207,-44401,570,87687,-30042,1.46,0,546800,27470,70400,1230000,14.2,12.83,11.5,-0.02442439,0.057235772,0.071290244,-34.26049471,33.37236534,-444.6324855,45.95905172,-5.210046895,0.160363936
klse: Focus Dynamics Group Bhd,Electrical Products,3.3,2.4,0.01,3.43,7.45,22158,11443,9279,10001,5945,3792,1230,-4690,4188,2329,748,-2886,52881,1986,0.02,90,16000,5750,33700,42500,1.38,0.74,0.28,0.046729412,0.792941176,1.244258824,3.755602201,-28.85711429,8.061213493,20.35305427,18.9006228,3.3050625
klse: 7-Eleven Malaysia Holdings Bhd,Food and Beverages,2.3,3.6,0.01,0.01,5.48,677123,649731,619292,592730,24368,6208,19744,16104,12919,1033,11371,11347,2538876,41198,0.09,331740,157700,1190000,1790000,82760,0.55,0.23,0.13,0.49780087,21.62880619,30.67757371,1.622686575,1.914362357,1.836128999,0.158988874,1.907925148,16.09940393
klse: Ecobuilt Holdings Bhd,Telecommunications,4.4,3.9,4.34,4.38,4.87,40864,19478,44767,39262,1728,-6422,1065,2464,1125,-7049,1862,1810,144371,-1617,0.33,39330,17020,5690,57670,104530,1.77,1.77,0.32,-0.015469243,0.551707644,1.381144169,-1.120031031,4.610055524,4.15931378,-36.18954718,2.753034456,8.482432432
klse: Sapura Resources Bhd,Property Developer,4.6,1.7,7.81,5.26,3.53,11699,11843,11044,13273,-4977,-5431,-6400,-15444,-5815,-5066,-6230,-14025,47859,-32122,3.05,0,85160,31980,64610,413070,2.86,2.86,2.47,-0.077764059,0.156414167,0.115861718,-67.11799244,-105.665637,-56.41072075,-42.77632357,-49.705103,0.561989197
klse: Serba Dinamik Holdings Bhd,Engineering,6.1,6.3,5.22,5.05,8,1481880,1437878,1278669,1360549,164839,166486,147685,139118,147996,147880,133720,140883,5558976,570232,0.79,118430,1420000,3750000,4460000,3080000,4.28,3.29,1.47,0.18514026,1.448051948,1.804862338,10.25786044,10.3548641,10.45774943,10.28459995,9.987043485,3.914771831
klse: OCK Group Bhd,Telecommunications,4.6,5,4.96,2.4,6.09,117235,108007,109186,123320,9558,7667,8390,10504,6531,6401,6578,7232,457748,29781,0.54,171900,103020,632210,785060,544390,1.32,1.11,0.34,0.054705266,1.442091148,0.840845717,6.505981457,5.864417775,6.024581906,5.926467729,5.570861944,4.443292565
klse: UEM Sunrise Bhd,Property Developer,5.3,3.1,7.7,3.33,6.97,217435,111957,195854,1162029,-21946,-99799,-8696,206034,-28872,-93357,-21937,126245,1687275,-19879,1.61,621410,1390000,4210000,6220000,7050000,1.53,0.78,0.36,-0.002819716,0.882269504,0.239329787,-1.178171904,10.86418669,-11.20069031,-83.38647874,-13.27845103,1.213866906
klse: South Malaysia Industries Bhd,Property Developer,4.5,1.4,6.43,3.6,6.48,16686,6778,12302,18111,-720,-12025,-896,-3414,-731,-11535,-4206,-2940,53877,-16899,0.81,0,10560,21450,47100,155480,2.1,1.59,0.55,-0.10868922,0.302932853,0.346520453,-31.36588897,-16.23322842,-34.18956267,-170.1829448,-4.380918135,5.101988636
klse: Iconic Worldwide Bhd,Forest Products,4.2,3.3,4.55,0.62,8.26,11664,4798,10680,8281,3029,1272,3366,2773,3029,1272,3366,2773,35423,10440,0.35,0,79810,368890,427580,353240,14.06,6.63,4.69,0.029554977,1.210451817,0.100280263,29.4723767,33.48629393,31.51685393,26.51104627,25.96879287,0.443841624
klse: Karex Bhd,Consumer,4.1,2.4,2.37,4.05,7.64,101733,91090,99153,109094,7013,4261,32,1093,4458,1426,-1134,102,401070,8372,0.48,97800,43620,57510,152080,478050,2.56,1.35,0.43,0.017512812,0.318125719,0.838970819,2.087416162,0.093497351,-1.143687029,1.565484685,4.382058919,9.194635488
klse: Karyon Industries Bhd,Chemicals,5.3,3.8,5.47,5.8,5.98,34427,21933,33162,42676,2191,183,358,2914,1438,49,173,2077,132198,3737,0.22,0,42250,8070,18110,103440,4.99,3.61,2.25,0.036127224,0.17507734,1.278016241,2.826820375,4.866904115,0.521681443,0.223407651,4.176954135,3.128946746
klse: EG Industries Bhd,Electronic Components,5,4,5.48,2.66,7.99,293091,230479,211362,284758,4448,-12400,-5451,2231,4448,-12924,-5451,2031,1019690,-11896,1.18,18200,30910,235570,582980,323050,1.06,0.55,0.05,-0.036824021,1.804612289,3.156446371,-1.166629074,0.713237205,-2.578987708,-5.607452306,1.517617395,32.98900032
klse: SBC Corp. Bhd,Engineering,5.6,6.2,8.05,4.67,3.53,24587,5159,42989,31222,6695,-1361,-5134,5905,4557,-1649,-5642,4752,103957,1246,1.6,0,13210,94770,243580,413680,2.42,0.52,0.06,0.00301199,0.588812609,0.251298105,1.198572487,15.22003715,-13.12428761,-31.96355883,18.53418473,7.869568509
klse: Permaju Industries Bhd,Wholesale Distributors,4.8,2.1,5.68,3.52,7.87,11828,5890,14330,18552,-2003,-3383,-3007,-879,-1732,-3004,-2225,-762,50600,-8703,0.67,0,1660,5270,65610,111820,1.1,0.08,0.03,-0.077830442,0.586746557,0.452512967,-17.19960474,-4.107373868,-15.52686671,-51.00169779,-14.64321948,30.48192771
klse: See Hup Consolidated Bhd,Transportation,1.7,1.2,2.27,3.31,0.11,17856,13544,22693,25527,-313,-3568,-3971,-994,-316,-2912,-3708,-1000,79620,-9573,0.94,700,15550,38920,54560,72430,1.42,1.4,0.49,-0.132168991,0.753279028,1.099268259,-12.02336096,-3.91742077,-16.33984048,-21.50029533,-1.769713262,5.120257235
klse: Kumpulan H&L High-Tech Bhd,Industrial Machinery,5.2,5.5,7.83,6.54,1.08,5359,4808,3208,5132,1277,1432,-485,479,1315,1447,-656,322,18507,2427,2.64,0,27260,16820,25590,95310,8.07,7.07,6.3,0.025464274,0.268492288,0.194176896,13.11395688,6.274356976,-20.44887781,30.09567388,24.5381601,0.678906823
klse: Jaya Tiasa Holdings Bhd,Forest Products,4.1,2.2,3.62,2.24,8.19,221095,139255,144589,186905,46996,-109870,-45292,-7920,34844,-36110,-45920,-7274,691844,-54889,1.14,830,13280,802160,1020000,1110000,0.18,0.08,0.02,-0.04944955,0.918918919,0.623282883,-7.933724944,-3.891816698,-31.75898581,-25.93084629,15.75974129,52.09668675
klse: Favelle Favco Bhd,Industrial Machinery,7.1,7.3,6.64,9.24,5.31,130413,97426,144627,226176,13284,11554,16057,44952,4116,7569,11908,26531,598642,61472,3.19,71210,270220,82310,518380,743210,1.58,1.23,0.55,0.082711481,0.697487924,0.805481627,10.26857454,11.73024547,8.233594004,7.768973375,3.156127073,2.215387462
klse: Tune Protect Group Bhd,Insurance,6.9,7,6.79,7.88,5.84,110003,100942,122356,125832,7405,20603,3577,12285,2278,12597,2500,10638,459133,37954,0.74,29080,819340,294740,5870,479830,0.66,0,0,0.079098848,0.012233499,0.956865973,8.266450026,8.454129315,2.04321815,12.47944364,2.070852613,0.560369322
klse: Inari Amertron Bhd,Semiconductor,4.6,2.8,1.46,5.25,8.76,347621,233341,242566,265437,77414,34066,40757,42652,70070,35473,35062,37485,1088965,178761,0.37,2290,594590,9130,254860,1200000,4.04,3.43,2.48,0.1489675,0.212383333,0.907470833,16.41567911,14.12199505,14.45462266,15.20221478,20.15701008,1.831455289
